area_id,year_month,count_type,count,hour
1,2021-09,0,328,12
1,2021-03,0,320,12
1,2020-09,0,308,12
1,2019-09,0,306,12
1,2019-03,0,303,12
5,2018-09,0,1305,12
1,2018-09,0,304,12
1,2018-03,0,304,12
1,2017-09,0,303,12
1,2017-03,0,301,12
1,2016-09,0,310,12
5,2018-03,0,1348,12
1,2016-03,0,303,12
1,2015-09,0,306,12
1,2015-03,0,307,12
1,2014-09,0,303,12
5,2017-09,0,1354,12
1,2014-03,0,301,12
1,2013-09,0,307,12
1,2013-03,0,307,12
1,2012-09,0,315,12
1,2012-03,0,296,12
5,2017-03,0,1358,12
2,2021-09,0,522,12
2,2021-03,0,517,12
2,2020-09,0,530,12
2,2019-09,0,510,12
2,2019-03,0,496,12
2,2018-09,0,518,12
12,2017-03,0,1004,12
2,2018-03,0,519,12
2,2017-09,0,548,12
2,2017-03,0,555,12
2,2016-09,0,556,12
2,2016-03,0,557,12
2,2015-09,0,581,12
12,2016-09,0,1018,12
2,2015-03,0,607,12
2,2014-09,0,539,12
2,2014-03,0,619,12
2,2013-09,0,621,12
2,2013-03,0,624,12
2,2012-09,0,649,12
12,2016-03,0,1019,12
2,2012-03,0,649,12
3,2021-09,0,352,12
3,2021-03,0,372,12
3,2020-09,0,367,12
3,2019-09,0,361,12
3,2019-03,0,360,12
5,2016-09,0,1346,12
3,2018-09,0,360,12
3,2018-03,0,353,12
3,2017-09,0,351,12
3,2017-03,0,352,12
3,2016-09,0,363,12
3,2016-03,0,362,12
5,2016-03,0,1347,12
3,2015-09,0,382,12
3,2015-03,0,381,12
3,2014-09,0,386,12
3,2014-03,0,386,12
3,2013-09,0,398,12
3,2013-03,0,386,12
5,2015-09,0,1345,12
3,2012-09,0,388,12
3,2012-03,0,379,12
4,2021-09,0,730,12
4,2021-03,0,706,12
4,2020-09,0,710,12
4,2019-09,0,667,12
5,2015-03,0,1345,12
4,2019-03,0,689,12
4,2018-09,0,694,12
4,2018-03,0,676,12
4,2017-09,0,679,12
4,2017-03,0,686,12
4,2016-09,0,692,12
5,2014-09,0,1353,12
4,2016-03,0,677,12
4,2015-09,0,654,12
4,2015-03,0,700,12
4,2014-09,0,701,12
4,2014-03,0,701,12
4,2013-09,0,710,12
5,2014-03,0,1299,12
4,2013-03,0,704,12
4,2012-09,0,704,12
4,2012-03,0,819,12
5,2021-09,0,1332,12
5,2021-03,0,1330,12
5,2020-09,0,1340,12
5,2019-09,0,1290,12
5,2019-03,0,1302,12
5,2013-09,0,1079,12
5,2013-03,0,972,12
5,2012-09,0,962,12
5,2012-03,0,1011,12
6,2021-09,0,1204,12
6,2021-03,0,1172,12
6,2020-09,0,1189,12
6,2019-09,0,1175,12
6,2019-03,0,1178,12
12,2015-09,0,1028,12
6,2018-09,0,1170,12
6,2018-03,0,1150,12
6,2017-09,0,1152,12
6,2017-03,0,1147,12
6,2016-09,0,1167,12
6,2016-03,0,1164,12
6,2015-09,0,1180,12
6,2015-03,0,1189,12
6,2014-09,0,1199,12
9,2018-09,0,671,12
6,2014-03,0,1189,12
6,2013-09,0,1160,12
6,2013-03,0,1185,12
6,2012-09,0,1167,12
6,2012-03,0,1232,12
7,2021-09,0,294,12
7,2021-03,0,294,12
7,2020-09,0,293,12
9,2018-03,0,685,12
7,2019-09,0,314,12
7,2019-03,0,314,12
7,2018-09,0,319,12
7,2018-03,0,308,12
7,2017-09,0,317,12
7,2017-03,0,322,12
7,2016-09,0,322,12
12,2019-09,0,1032,12
7,2016-03,0,396,12
7,2015-09,0,421,12
7,2015-03,0,423,12
7,2014-09,0,406,12
7,2014-03,0,406,12
7,2013-09,0,406,12
7,2013-03,0,409,12
12,2019-03,0,1001,12
7,2012-09,0,419,12
7,2012-03,0,408,12
8,2021-09,0,524,12
8,2021-03,0,527,12
8,2020-09,0,527,12
8,2019-09,0,519,12
